WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC,CHANGE
3,1,0,0,4,3,0,0,1,1.5,24,1,0,0,0.5556,0,0,5,yes
NA,1,0,0,13,66,0,0,9,1.0909,116,0.1136,0,0,0.1944,0,0,5,yes
17,1,0,2,18,136,0,2,14,1.0625,124,0.9545,2,0,0.1674,0,0,5,yes
6,1,0,0,NA,15,0,0,6,1.2,44,0.25,0,0,0.4333,0,0,5,yes
11,1,0,7,12,55,3,4,8,1.1,83,0.8235,2,0,0.2364,0,0,5,yes
9,1,0,0,10,36,0,0,4,1.125,57,0,0,0,0.3175,0,0,5,yes
101,1,0,12,102,5050,1,11,24,1.01,867,0.9502,7,0,0.0825,0,0,5,yes
8,1,0,0,9,28,0,0,7,1.1429,57,1,0,0,0.4375,0,0,5,yes
3,1,0,23,4,3,1,0,3,1.5,22,1,0,0,0.5,0,0,5,yes
21,1,0,1,22,210,0,1,21,1.05,139,0.9231,1,0,0.244,0,0,5,yes
19,1,1,3,20,171,1,2,12,1.0556,155,1,1,0,0.1895,0,0,5,yes
15,1,0,1,16,105,0,1,10,1.0714,99,1,0,0,0.28,0,0,5,yes
13,1,1,2,14,78,2,0,10,1.0833,101,0.7391,0,0,0.25,0,0,5,yes
NA,1,0,1,12,55,0,1,6,1.1,88,0.9545,0,0,0.1818,0,0,5,yes
32,1,0,6,33,496,3,3,23,1.0323,226,0.6471,1,0,0.1923,0,0,5,yes
3,1,0,0,4,3,0,0,3,1.5,19,0,0,0,0.6667,0,0,5,yes
7,1,0,1,8,21,0,1,2,1.1667,47,1,1,0,0.4762,0,0,5,yes
21,1,0,1,22,210,1,0,14,1.05,195,0.4348,0,0,0.1905,0,0,5,yes
11,1,0,,12,55,1,1,9,1.1,95,0.9655,0,0,0.3247,0,0,5,yes
43,1,0,7,44,903,2,6,25,NA,322,0.6719,1,0,0.1744,0,0,5,yes
21,1,0,4,22,210,0,4,11,1.05,141,1,3,0,NA,0,0,5,yes
3,1,0,40,4,3,0,0,3,1.5,20,1,0,0,0.8333,0,0,5,yes
22,1,0,1,23,231,1,0,14,1.0476,150,0.5,0,0,0.2727,0,0,5,yes
19,1,0,4,20,171,0,4,13,1.0556,126,0.8333,1,0,0.1696,0,0,5,yes
21,1,0,6,22,210,1,5,14,1.05,161,0.7714,2,0,0.1429,0,0,5,yes
16,1,0,1,17,120,0,1,11,1.0667,121,1,0,0,0.1635,0,0,5,yes
5,1,0,1,6,10,0,1,5,1.25,35,0.4,0,0,0.325,0,0,5,yes
37,1,0,1,38,666,1,0,12,1.0278,299,0.4805,0,0,0.1149,0,0,5,yes
